iter	Passed	Remaining
592	4725	3243
593	4732	3234
594	4740	3226
595	4747	3218
596	4754	3209
597	4762	3201
598	4769	3193
599	4776	3184
600	4783	3175
601	4791	3167
602	4798	3159
603	4806	3151
604	4813	3142
605	4821	3134
606	4828	3126
607	4835	3117
608	4843	3109
609	4850	3101
610	4857	3092
611	4864	3084
612	4872	3075
613	4879	3067
614	4887	3059
615	4894	3051
616	4901	3042
617	4909	3034
618	4916	3026
619	4923	3017
620	4930	3009
621	4938	3000
622	4945	2992
623	4952	2984
624	4960	2976
625	4967	2967
626	4975	2959
627	4982	2951
628	4990	2943
629	4997	2934
630	5004	2926
631	5011	2918
632	5019	2910
633	5026	2901
634	5034	2893
635	5043	2886
636	5050	2878
637	5058	2870
638	5065	2861
639	5073	2853
640	5080	2845
641	5088	2837
642	5097	2830
643	5104	2821
644	5113	2814
645	5121	2806
646	5130	2799
647	5137	2790
648	5145	2782
649	5152	2774
650	5160	2766
651	5169	2759
652	5178	2751
653	5186	2743
654	5194	2735
655	5202	2727
656	5209	2719
657	5217	2711
658	5225	2703
659	5232	2695
660	5240	2687
661	5247	2679
662	5254	2670
663	5261	2662
664	5269	2654
665	5276	2646
666	5284	2638
667	5291	2629
668	5298	2621
669	5305	2613
670	5312	2604
671	5319	2596
672	5326	2588
673	5334	2579
674	5340	2571
675	5348	2563
676	5355	2555
677	5363	2547
678	5370	2538
679	5377	2530
680	5385	2522
681	5392	2514
682	5398	2505
683	5406	2497
684	5413	2489
685	5420	2481
686	5428	2473
687	5436	2465
688	5443	2457
689	5450	2448
690	5457	2440
691	5464	2432
692	5472	2424
693	5479	2415
694	5486	2407
695	5493	2399
696	5500	2391
697	5508	2383
698	5517	2375
699	5524	2367
700	5532	2359
701	5539	2351
702	5547	2343
703	5554	2335
704	5561	2327
705	5568	2319
706	5576	2311
707	5584	2303
708	5591	2294
709	5599	2287
710	5606	2278
711	5614	2270
712	5621	2262
713	5629	2254
714	5636	2246
715	5644	2238
716	5651	2230
717	5659	2222
718	5666	2214
719	5674	2206
720	5681	2198
721	5688	2190
722	5696	2182
723	5704	2174
724	5711	2166
725	5719	2158
726	5727	2150
727	5734	2142
728	5741	2134
729	5748	2126
730	5755	2118
731	5762	2109
732	5769	2101
733	5777	2093
734	5783	2085
735	5791	2077
736	5798	2069
737	5806	2061
738	5813	2053
739	5820	2045
740	5829	2037
741	5837	2029
742	5845	2021
743	5852	2013
744	5859	2005
745	5867	1997
746	5874	1989
747	5882	1981
748	5889	1973
749	5896	1965
750	5903	1957
751	5910	1949
752	5917	1941
753	5924	1933
754	5931	1924
755	5938	1916
756	5946	1908
757	5953	1900
758	5961	1892
759	5968	1884
760	5976	1877
761	5984	1869
762	5992	1861
763	5999	1853
764	6007	1845
765	6014	1837
766	6022	1829
767	6029	1821
768	6036	1813
769	6043	1805
770	6050	1797
771	6058	1789
772	6065	1781
773	6072	1773
774	6080	1765
775	6087	1757
776	6095	1749
777	6102	1741
778	6110	1733
779	6118	1725
780	6125	1717
781	6133	1709
782	6141	1701
783	6149	1694
784	6157	1686
785	6165	1678
786	6172	1670
787	6180	1662
788	6188	1654
789	6196	1647
790	6203	1639
791	6212	1631
792	6220	1623
793	6227	1615
794	6235	1607
795	6243	1599
796	6249	1591
797	6257	1583
798	6264	1575
799	6271	1567
800	6278	1559
801	6285	1551
802	6293	1543
803	6300	1535
804	6307	1527
805	6315	1520
806	6322	1512
807	6330	1504
808	6337	1496
809	6344	1488
810	6352	1480
811	6360	1472
812	6367	1464
813	6374	1456
814	6382	1448
815	6389	1440
816	6395	1432
817	6402	1424
818	6409	1416
819	6416	1408
820	6424	1400
821	6431	1392
822	6438	1384
823	6445	1376
824	6452	1368
825	6459	1360
826	6466	1352
827	6474	1344
828	6481	1336
829	6489	1329
830	6496	1321
831	6503	1313
832	6511	1305
833	6518	1297
834	6525	1289
835	6532	1281
836	6539	1273
837	6546	1265
838	6565	1259
839	6571	1251
840	6577	1243
841	6584	1235
842	6592	1227
843	6600	1219
844	6607	1212
845	6615	1204
846	6622	1196
847	6629	1188
848	6637	1180
849	6644	1172
850	6651	1164
851	6658	1156
852	6666	1148
853	6674	1141
854	6682	1133
855	6689	1125
856	6696	1117
857	6703	1109
858	6711	1101
859	6719	1093
860	6727	1086
861	6734	1078
862	6742	1070
863	6750	1062
864	6757	1054
865	6764	1046
866	6772	1038
867	6780	1031
868	6787	1023
869	6795	1015
870	6803	1007
871	6810	999
872	6817	991
873	6824	983
874	6831	975
875	6839	968
876	6846	960
877	6853	952
878	6861	944
879	6868	936
880	6876	928
881	6883	920
882	6890	912
883	6897	905
884	6904	897
885	6911	889
886	6918	881
887	6925	873
888	6932	865
889	6939	857
890	6946	849
891	6954	841
892	6961	834
893	6968	826
894	6976	818
895	6983	810
896	6990	802
897	6998	794
898	7006	787
899	7013	779
900	7021	771
901	7029	763
902	7036	755
903	7044	748
904	7051	740
905	7058	732
906	7065	724
907	7073	716
908	7080	708
909	7088	701
910	7096	693
911	7104	685
912	7112	677
913	7120	670
914	7128	662
915	7135	654
916	7142	646
917	7150	638
918	7157	630
919	7165	623
920	7172	615
921	7179	607
922	7187	599
923	7194	591
924	7201	583
925	7208	576
926	7216	568
927	7223	560
928	7231	552
929	7238	544
930	7246	537
931	7253	529
932	7261	521
933	7268	513
934	7275	505
935	7283	498
936	7291	490
937	7298	482
938	7306	474
939	7313	466
940	7320	459
941	7327	451
942	7335	443
943	7342	435
944	7349	427
945	7357	419
946	7364	412
947	7371	404
948	7379	396
949	7386	388
950	7393	380
951	7400	373
952	7408	365
953	7416	357
954	7424	349
955	7431	342
956	7439	334
957	7446	326
958	7453	318
959	7461	310
960	7468	303
961	7476	295
962	7483	287
963	7490	279
964	7498	271
965	7505	264
966	7512	256
967	7519	248
968	7526	240
969	7534	233
970	7542	225
971	7549	217
972	7557	209
973	7564	201
974	7571	194
975	7578	186
976	7586	178
977	7593	170
978	7600	163
979	7607	155
980	7615	147
981	7622	139
982	7629	131
983	7636	124
984	7644	116
985	7651	108
986	7658	100
987	7665	93
988	7673	85
989	7680	77
990	7687	69
991	7694	62
992	7701	54
993	7708	46
994	7715	38
995	7722	31
996	7730	23
997	7738	15
998	7746	7
999	7753	0
